id_1,id_0,title_1,title_0,brand_name,category,table_name,dependency_ratio,dependency_count,similarity,max_length,min_length,jaro_winker
102,67728,파하 필링 토너,파하 필링 토너,벤튼,스킨/토너,naver_beauty_product_info_extended_v1_211217,1.0,3,1.0,6,6,
103,20273,오늘부터어성초 데일리 밸런스 어성초 수분 크림,데일리 밸런스 어성초 크림,오늘부터어성초,크림,naver_beauty_product_info_extended_v1_211217,1.0,4,0.55,20,11,
114,11422,하이드로 볼륨 리프트 세럼,하이드로 볼륨 리프트 세럼,브에노,에센스,naver_beauty_product_info_extended_v1_211217,1.0,4,1.0,11,11,
117,25085,이지 피지 파우더,이지피지 파우더,헤이네이처,베이스메이크업,naver_beauty_product_info_extended_v1_211217,0.5,1,1.0,7,7,
119,25078,인텐스 모이스쳐라이징 컨센트레이트,인텐스 모이스쳐라이징 컨센트레이트,헤이네이처,에센스,naver_beauty_product_info_extended_v1_211217,1.0,3,1.0,16,16,
121,755,슈퍼 펌킨 앤리치드 크림,슈퍼펌킨 앤리치드 크림,글램폭스,크림,naver_beauty_product_info_extended_v1_211217,0.6667,2,1.0,10,10,
127,76067,오로라 커버 쿠션 모이스처 spf50+,오로라 커버 쿠션 모이스처 spf50+ pa+++,닥터엘시아,베이스메이크업,naver_beauty_product_info_extended_v1_211217,1.0,5,0.7727,22,17,
129,76068,오로라 커버 쿠션 spf50+,오로라 커버 쿠션 spf50+ pa+++,닥터엘시아,베이스메이크업,naver_beauty_product_info_extended_v1_211217,1.0,4,0.7222,18,13,
131,93767,유니콘 오로라 에센스 프라이머,유니콘 오로라 에센스 프라이머,셀프뷰티,베이스메이크업,naver_beauty_product_info_extended_v1_211217,1.0,4,1.0,13,13,
132,56333,파라다이스 오로라 샤인 립 트리트먼트,블루밍 에디션 파라다이스 오로라 샤인 립 트리트먼트,디어달리아,립메이크업,naver_beauty_product_info_extended_v1_211217,1.0,5,0.7273,22,16,
