id,brand_name,product_name,selection,division,groups
18287,엔프라니,[단종] 올댓 선 세이프 & 마일드 UV 블록 [SPF50+/PA+++],선케어,선크림,마일드선크림
18274,엔프라니,[단종] 올댓 선 화이트닝 유브이 블록 [SPF50+/PA++],선케어,선크림,마일드선크림
18301,엔프라니,[단종] 올댓 선 아웃도어 UV 스프레이 [SPF50+/PA+++],선케어,선스프레이,
18300,엔프라니,[단종] 올댓 선 아웃도어 UV 블록 [SPF50+/PA+++],선케어,선크림,마일드선크림
18289,엔프라니,[단종] 올댓 선 안티링클 UV블록 EX [SPF50+/PA+++],선케어,선크림,마일드선크림
18299,엔프라니,[단종] 올댓 선 수퍼아쿠아 UV블록 [SPF35],선케어,선크림,마일드선크림
20324,오르비스,[단종] 썬스크린 온 페이스 오리지널 [SPF34],선케어,선베이스,
20326,오르비스,[단종] 썬 스크린 온 페이스 뷰티 라이트 [SPF34/PA+++],선케어,선크림,노세범선크림
24237,오르비스,[단종] 썬 스크린 온 페이스 뷰티 [SPF34/PA+++],선케어,선크림,톤업선크림
75807,투쿨포스쿨,[단종] 장조지롱 선블록 [SPF50+/PA+++],선케어,선크림,톤업선크림
70846,닥터영,[단종] 아쿠아 선케어 미스트 [SPF32/PA++],선케어,선스프레이,
94314,비디비치,[단종] UV 에센스 베일 [SPF50+/PA+++],선케어,선에센스/세럼,
12879,세븐드롭스,[단종] 모링가 라이트 선블록 [SPF50+/PA+++],선케어,선크림,마일드선크림
29580,에스티 로더,[단종] 사이버화이트 HD 어드밴스드 브라이트닝 UV 프로텍터 [SPF50/PA+++],선케어,선베이스,
89828,아로마티카,[단종] 내추럴 틴티드 선크림 [SPF30/PA++],선케어,선크림,톤업선크림
89706,아로마티카,[단종] 유기농 알로에 베라 젤,선케어,에프터선,수딩젤
63206,숨37˚,[단종] 선 어웨이 아쿠아 선 미스트 [SPF32/PA++],선케어,선스프레이,
81782,수이스킨,[단종] 데일리 디펜스 선블록 [SPF50+/PA+++],선케어,선크림,마일드선크림
52592,스킨79,[단종] 밀키 샤인 썬 프로텍트 [SPF35/PA++],선케어,선베이스,
66312,구달,[단종] UV 프로텍트 선피니셔 [SPF30/PA++],선케어,선크림,마일드선크림
10383,베리떼,[단종] 아쿠아 선크림 [SPF50+/PA+++],선케어,선크림,마일드선크림
98130,꼬달리,[단종] 쏠레일 디방 페이스 선케어 [SPF30],선케어,선크림,마일드선크림
98132,꼬달리,[단종] 쏠레일 디방 페이스 선케어 [SPF50],선케어,선크림,마일드선크림
2009,다나한,[단종] 본연수 미백 선크림 [SPF50+/PA+++],선케어,선크림,톤업선크림
2021,다나한,[단종] 효용 미백 선크림 [SPF50/PA+++],선케어,선크림,톤업선크림
100844,빌리프,[단종] 올마이티 선스틱 [SPF50+/PA+++],선케어,선스틱,
100847,빌리프,[단종] UV 프로텍터 레포츠 쉐이킹 선스크린 [SPF50+/PA+++],선케어,선크림,마일드선크림
100827,빌리프,[단종] UV 프로텍터 스탠바이유 선스크린 [SPF50+/PA+++],선케어,선베이스,
100828,빌리프,[단종] UV 프로텍터 멀티 선스크린 [SPF50+/PA+++],선케어,선베이스,
100834,빌리프,[단종] UV 프로텍터 후레쉬 선스크린 [SPF50+/PA+++],선케어,선크림,마일드선크림
88836,닥터자르트,[단종] 에브리 선데이 [SPF50+/PA+++],선케어,선베이스,
88833,닥터자르트,[단종] 컨트롤 에이 센스티브 선 프로텍터 [SPF35/PA++],선케어,선크림,마일드선크림
88896,닥터자르트,[단종] 에브리 선 데이 UV 샤이닝 베이스 [SPF50+/PA+++],선케어,선베이스,
88837,닥터자르트,[단종] 에브리 선 데이 에센스 선 [SPF45/PA+++],선케어,선에센스/세럼,
106295,비욘드,[단종] 트루 에코 유기농 선크림 [SPF30/PA++],선케어,선크림,마일드선크림
106098,비욘드,[단종] 피토 아쿠아 워터 선 베이스 [SPF50+/PA+++],선케어,선베이스,
106286,비욘드,[단종] 피토가닉 선크림 [SPF40/PA+++],선케어,선크림,마일드선크림
106361,비욘드,[단종] 데일리 선 쉴드 [SPF32/PA++],선케어,선크림,마일드선크림
106166,비욘드,[단종] 토탈 선 디펜스 [SPF40/PA+++],선케어,선크림,마일드선크림
83382,샤넬,[단종] UV 에쌍씨엘 [SPF30/PA++],선케어,선크림,마일드선크림
61135,설화수,[단종] 상백크림 [SPF47/PA+++],선케어,선크림,마일드선크림
61120,설화수,[단종] 수율선크림 [SPF50+/PA+++],선케어,선크림,마일드선크림
10831,보브,[단종] 선 마스터 바디 선 스프레이 [SPF50+/PA+++],선케어,선스프레이,
27088,보브,[단종] 선 마스터 쿨링 선 무스 [SPF30/PA+++],선케어,선스프레이,
