id_1,id_0,title_1,title_0,brand_name,category_1,category_0,similarity,dependency,max_length,min_length,dependency_ratio,dependency_count,jaro_winker,levenshtein_distance,levenshtein_similarity
0,52314,화이트닝 포어 아이 크림,화이트닝 포어 아이크림,이니스프리,크림,크림,1.0,1,10,10,1.0,4,,,
1,86545,블랙티 유스 인핸싱 앰플,블랙티 유스 인핸싱 앰플,이니스프리,에센스,에센스,1.0,1,10,10,1.0,4,,,
2,86604,트루케어 알란토인 워터드롭 에센스,트루케어 알란토인 워터드롭 에센스,이니스프리,에센스,에센스,1.0,1,15,15,1.0,4,,,
3,71215,올리브 리얼 스킨,올리브 리얼 스킨,이니스프리,스킨/토너,스킨/토너,1.0,1,7,7,1.0,3,,,
4,86830,제주 용암수 크림 마스크,제주 용암수 크림 마스크,이니스프리,크림,크림,1.0,1,10,10,1.0,4,,,
5,71215,올리브 리얼 스킨,올리브 리얼 스킨,이니스프리,스킨/토너,스킨/토너,1.0,1,7,7,1.0,3,,,
6,86911,베지 워터 토닝 앰플,슈퍼푸드 베지워터 토닝 앰플,이니스프리,에센스,에센스,0.8889,1,12,8,1.0,4,,,
8,86832,그린티 씨드 아이 앤 페이스 볼,그린티 씨드 아이 앤 페이스 볼,이니스프리,크림,크림,1.0,1,12,12,1.0,6,,,
9,86742,블랙티 유스 인핸싱 앰플 미스트,블랙티 유스 인핸싱 앰플 미스트,이니스프리,스킨/토너,스킨/토너,1.0,1,13,13,1.0,5,,,
10,86706,블랙티 유스 인핸싱 크림,블랙티 유스 인핸싱 크림,이니스프리,크림,크림,1.0,1,10,10,1.0,4,,,
12,86920,블랙티 유스 인핸싱 아이 세럼,블랙티 유스 인핸싱 아이 세럼,이니스프리,크림,크림,1.0,1,12,12,1.0,5,,,
13,86568,블루베리 리밸런싱 스킨 로션 크림 클렌저 워터 워터리 선크림,블루베리 리밸런싱 스킨,이니스프리,스킨/토너,스킨/토너,0.8,1,25,10,1.0,3,,,
16,86568,블루베리 리밸런싱 스킨 로션 크림 선크림,블루베리 리밸런싱 스킨,이니스프리,스킨/토너,스킨/토너,0.8627,1,17,10,1.0,3,,,
17,86568,블루베리 리밸런싱 스킨,블루베리 리밸런싱 스킨,이니스프리,스킨/토너,스킨/토너,1.0,1,10,10,1.0,3,,,
18,86568,슈퍼푸드 블루베리 리밸런싱 스킨,블루베리 리밸런싱 스킨,이니스프리,스킨/토너,스킨/토너,0.9048,1,14,10,1.0,3,,,
19,71215,올리브리얼 스킨 로션 파워크림,올리브 리얼 스킨,이니스프리,스킨/토너,스킨/토너,0.8462,1,13,7,1.0,3,,,
20,86603,그린티 밸런싱 스킨,그린티 밸런싱 스킨,이니스프리,스킨/토너,스킨/토너,1.0,1,8,8,1.0,3,,,
21,86568,슈퍼푸드 블루베리 리밸런싱 스킨 로션 크림 선크림,블루베리 리밸런싱 스킨,이니스프리,스킨/토너,스킨/토너,0.8254,1,21,10,1.0,3,,,
24,86703,제주 왕벚꽃 톤업 크림 스킨 로션 젤리 튜브타입,제주 왕벚꽃 톤업 크림,이니스프리,크림,크림,0.8246,1,19,9,1.0,4,,,
25,86572,청보리 필링토너 버블클렌저 필링마스크 클렌징티슈,청보리 필링 토너,이니스프리,스킨/토너,스킨/토너,0.7727,1,22,7,1.0,3,,,
27,86568,블루베리 리밸런싱 스킨 로션 클렌징워터 선크림,블루베리 리밸런싱 스킨,이니스프리,스킨/토너,스킨/토너,0.8333,1,20,10,1.0,3,,,
28,86568,블루베리 리밸런싱 스킨,블루베리 리밸런싱 스킨,이니스프리,스킨/토너,스킨/토너,1.0,1,10,10,1.0,3,,,
29,86589,그린티 씨드 크림 딥크림 세럼,그린티 씨드 크림,이니스프리,크림,크림,0.8611,1,12,7,1.0,3,,,
30,86623,브라이트닝 포어 세럼 스킨 트리트먼트 슬리핑마스크 페이셜 클렌저,브라이트닝 포어 세럼,이니스프리,에센스,에센스,0.7738,1,28,9,1.0,3,,,
31,86568,슈퍼푸드 블루베리 리밸런싱 스킨,블루베리 리밸런싱 스킨,이니스프리,스킨/토너,스킨/토너,0.9048,1,14,10,1.0,3,,,
33,86818,올리브 리얼 파워크림,올리브 리얼 파워크림,이니스프리,크림,크림,1.0,1,9,9,1.0,3,,,
34,86572,청보리 필링 토너 클렌징 티슈,청보리 필링 토너,이니스프리,스킨/토너,스킨/토너,0.8611,1,12,7,1.0,3,,,
36,86706,블랙티 유스 인핸싱 앰플 크림,블랙티 유스 인핸싱 크림,이니스프리,크림,크림,0.9444,0,12,10,1.0,4,,,
37,73287,제주한란 인리치드 크림 스킨 로션 에센스,제주한란 인리치드 크림,이니스프리,크림,크림,0.8627,1,17,10,1.0,3,,,
40,86818,올리브 리얼 파워크림,올리브 리얼 파워크림,이니스프리,크림,크림,1.0,1,9,9,1.0,3,,,
41,73128,한란 인리치드 크림,한란 인리치드 크림,이니스프리,크림,크림,1.0,1,8,8,1.0,3,,,
42,86568,블루베리 리밸런싱 스킨 토너,블루베리 리밸런싱 스킨,이니스프리,스킨/토너,스킨/토너,0.9444,1,12,10,1.0,3,,,
43,86818,올리브 리얼 파워 크림,올리브 리얼 파워크림,이니스프리,크림,크림,1.0,1,9,9,1.0,4,,,
44,86729,퍼펙트 리페어 스킨,퍼펙트 리페어 스킨,이니스프리,스킨/토너,스킨/토너,1.0,1,8,8,1.0,3,,,
45,87978,제주 용암수 스킨,제주 용암수 스킨,이니스프리,스킨/토너,스킨/토너,1.0,1,7,7,1.0,3,,,
46,73144,한란 인리치드 에센스,한란 인리치드 에센스,이니스프리,에센스,에센스,1.0,1,9,9,1.0,3,,,
47,87947,자연발효 에너지 스킨,자연발효 에너지 스킨,이니스프리,스킨/토너,스킨/토너,1.0,1,9,9,1.0,3,,,
50,86631,한란 인텐스 크림,한란 인텐스 크림,이니스프리,크림,크림,1.0,1,7,7,1.0,3,,,
51,86603,그린티 밸런싱 스킨 로션 크림 폼클렌저 파우치,그린티 밸런싱 스킨,이니스프리,스킨/토너,스킨/토너,0.807,1,19,8,1.0,3,,,
52,86566,진저허니 앰플스킨 에센셜로션 크림,진저허니 앰플 스킨,이니스프리,스킨/토너,스킨/토너,0.8444,1,15,8,1.0,3,,,
54,86547,그린티 씨드 세럼,그린티 씨드 세럼,이니스프리,에센스,에센스,1.0,1,7,7,1.0,3,,,
55,86650,그린티 밸런싱 크림,그린티 밸런싱 크림,이니스프리,크림,크림,1.0,1,8,8,1.0,3,,,
56,73144,한란 인리치드 에센스,한란 인리치드 에센스,이니스프리,에센스,에센스,1.0,1,9,9,1.0,3,,,
57,86689,비자 트러블 로션 스킨 시카밤 폼,비자 트러블 스킨,이니스프리,스킨/토너,스킨/토너,0.8462,0,13,7,1.0,3,,,
58,55566,꽃송이버섯 바이탈 스킨,꽃송이버섯 바이탈 스킨,이니스프리,스킨/토너,스킨/토너,1.0,1,10,10,1.0,3,,,
59,86568,블루베리 리밸런싱 스킨,블루베리 리밸런싱 스킨,이니스프리,스킨/토너,스킨/토너,1.0,1,10,10,1.0,3,,,
60,86568,블루베리 리밸런싱 스킨,블루베리 리밸런싱 스킨,이니스프리,스킨/토너,스킨/토너,1.0,1,10,10,1.0,3,,,
61,55992,더마포뮬러 그린티 프로바이오틱스 크림,더마 포뮬러 그린티 프로바이오틱스 크림,이니스프리,크림,크림,1.0,1,17,17,1.0,4,,,
62,86703,제주 왕벚꽃 톤업 크림 스킨 로션 젤리,제주 왕벚꽃 톤업 크림,이니스프리,크림,크림,0.8667,1,15,9,1.0,4,,,
65,86603,그린티 밸런싱 스킨 여행용,그린티 밸런싱 스킨,이니스프리,스킨/토너,스킨/토너,0.9091,1,11,8,1.0,3,,,
66,86568,블루베리 리밸런싱 스킨,블루베리 리밸런싱 스킨,이니스프리,스킨/토너,스킨/토너,1.0,1,10,10,1.0,3,,,
67,73286,제주 한란 인리치드 에센스,제주 한란 인리치드 에센스,이니스프리,에센스,에센스,1.0,1,11,11,1.0,4,,,
68,86957,꽃송이 버섯 바이탈 세럼,꽃송이버섯 바이탈 세럼,이니스프리,에센스,에센스,1.0,1,10,10,1.0,4,,,
70,73128,한란 인리치드 크림,한란 인리치드 크림,이니스프리,크림,크림,1.0,1,8,8,1.0,3,,,
71,86655,자연발효 에너지 에센스,자연발효 에너지 에센스,이니스프리,에센스,에센스,1.0,1,10,10,1.0,3,,,
72,86818,올리브 리얼 파워크림,올리브 리얼 파워크림,이니스프리,크림,크림,1.0,1,9,9,1.0,3,,,
73,87253,더 그린티 씨드 크림,더 그린티 씨드 크림,이니스프리,크림,크림,1.0,1,8,8,1.0,4,,,
75,86830,제주 용암수 크림 마스크,제주 용암수 크림 마스크,이니스프리,크림,크림,1.0,1,10,10,1.0,4,,,
76,86547,그린티 씨드세럼 씨드크림 씨드딥크림,그린티 씨드 세럼,이니스프리,에센스,에센스,0.8125,1,16,7,1.0,3,,,
77,86650,그린티 밸런싱 크림 여행용,그린티 밸런싱 크림,이니스프리,크림,크림,0.9091,1,11,8,1.0,3,,,
78,86603,그린티 밸런싱 스킨 로션 크림,그린티 밸런싱 스킨,이니스프리,스킨/토너,스킨/토너,0.8889,1,12,8,1.0,3,,,
79,55563,알로에 리바이탈 스킨 미스트,알로에 리바이탈 스킨 미스트,이니스프리,스킨/토너,스킨/토너,1.0,1,12,12,1.0,4,,,
80,48156,레티놀 시카 흔적 앰플,레티놀 시카 흔적 앰플,이니스프리,에센스,에센스,1.0,1,9,9,1.0,4,,,
81,87947,자연발효 에너지 스킨 로션,자연발효 에너지 스킨,이니스프리,스킨/토너,스킨/토너,0.9394,1,11,9,1.0,3,,,
82,86717,제주 용암수 에센스,제주 용암수 에센스,이니스프리,에센스,에센스,1.0,1,8,8,1.0,3,,,
83,86568,블루베리 리밸런싱 스킨,블루베리 리밸런싱 스킨,이니스프리,스킨/토너,스킨/토너,1.0,1,10,10,1.0,3,,,
84,86568,블루베리 리밸런싱 스킨,블루베리 리밸런싱 스킨,이니스프리,스킨/토너,스킨/토너,1.0,1,10,10,1.0,3,,,
85,86936,마스크 릴리프 톤업 로션,마스크 릴리프 톤업 로션 spf27 pa++,이니스프리,크림,크림,0.8421,1,19,10,1.0,4,,,
87,86568,슈퍼푸드 블루베리 리밸런싱 스킨,블루베리 리밸런싱 스킨,이니스프리,스킨/토너,스킨/토너,0.9048,1,14,10,1.0,3,,,
88,73144,한란 인리치드 에센스,한란 인리치드 에센스,이니스프리,에센스,에센스,1.0,1,9,9,1.0,3,,,
89,87309,꽃송이버섯 바이탈 크림,꽃송이버섯 바이탈 크림,이니스프리,크림,크림,1.0,1,10,10,1.0,3,,,
91,55654,더마 그린티 프로바이오틱스 크림 저자극 수분 보습 에센스 안티에이징 기능성화장품,더마 그린티 프로바이오틱스 크림,이니스프리,크림,크림,0.8,1,35,14,1.0,4,,,
92,86814,아토 수딩 크림,아토 수딩 크림,이니스프리,크림,크림,1.0,1,6,6,1.0,3,,,
93,71215,올리브 리얼 스킨,올리브 리얼 스킨,이니스프리,스킨/토너,스킨/토너,1.0,1,7,7,1.0,3,,,
